description,neighborhood_overview,notes,transit,access,interaction,house_rules,host_id,host_since,host_location,host_about,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_identity_verified,neighbourhood_cleansed,zipcode,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,nightly_price,price_per_stay,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,number_of_stays,first_review,last_review,instant_bookable,cancellation_policy,has_hot_water,has_smoke_detector,has_carbon_monoxide_detector,has_heating,has_essentials,has_kitchen,has_laptop_friendly_workspace,has_hangers,has_air_conditioning,has_iron,has_tv,has_wifi,has_lock_on_bedroom_door,has_gym,has_pool,has_hot_tub,has_free_parking_on_premises,has_elevator,has_private_entrance,guest_satisfaction
comfy sofabed double bed private living room bright beautiful completely remodeled apartment heart san diego close everything easy walk fashion valley mall san diegos finest mall 510 min downtown san diego old town beach ’ love place location location lot natural light lovely balcony treelined view building quiet peaceful please ask first arrival departure time reserving especially lastminute reservation make sure home check sleep comfortable sofabed living room private area separated door share bathroom kitchen kitchen bathroom living room around glad help way best area san diego within minute anywhere want go without noise traffic directly downtown,best area san diego within minute anywhere want go without noise traffic directly downtown,also share apartment sweet extremely wellbehaved small dog newton older sleep day usually bedroom however want keep company play obliged,public transportation ubers parking street around sometimes give ride needed depending time distance,kitchen bathroom living room,around glad help way,party loud music please quiet building respectful neighbor please check checkin checkout time reserving thanks,40292224.0,2015-08-02,mexico city federal district mexico,love meeting new people look forward home,1,100.0,0,mission valley west,3.0,1,moreno mission,92110.0,1,15,1,2.0,1.0,1.0,1.0,48.0,48.0,0.0,10.0,1.0,0.0,1.0,1.0,25.0,50.0,2017-01-20,2017-08-01,1,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
dynamic inventory inquire first place close great view restaurant familyfriendly activity ’ love staying place kitchen coziness location name reservation must name photo id must 21 year old resort requires refundable 100 security deposit time checkin credit card studio king king two twin sleeper sofa living area partial kitchen twoburner stove place close great view restaurant dining familyfriendly activity ’ love place kitchen coziness location place good couple solo adventurer business traveler family kid studio king two twin sleeper sofa living area unit includes partial kitchen 2 burner stove top microwave dishwasher refrigerator maximum occupancy 4 renovated apartment building owned managed worldmark,located vibrant hillcrest neighborhood worldmark san diego – inn park central many attraction sight prime starting point exploring amazing city san diego situated edge balboa park west historic property within walking distance worldrenowned san diego zoo old globe theatre 15 fine museum botanical marvel japanese friendship garden many topnotch cultural offering looking urban location offering trapping city life lively nightlife fine dining corner cafés designer boutique youll find right elegant italian renaissance style boutique property built 1926 unit unique charming tastefully decorated featuring classic furnishing – high ceiling large window allow unit bathed natural light minikitchen make sure stay refreshed outing,please go wwwairbnbcomverify complete identity verification safety complete reservation denied complimentary housekeeping included every 4th day stay 4 night longer please let know asap number guest changing number must match reservation reservation may voided,helpful hint valet parking 24 hour inout privilege available 20night street parking available guaranteed resort washer dryer inunit weather ideal sightseeing time year average daily temperature 70 degree perfect hitting beach san diego 19 beautiful beach – cliff del mar black beach stunning la jolla shore south action mission beach – west coast version coney island pacific beach place see seen offer popular eatery countless bar boutique shop best surf san diego county looking hustle bustle citylife san diego one largest city country plenty exciting thing see individual district hillcrest little italy gaslamp district offer delightful restaurant nightclub gallery shopping balboa park,spacious suite featuring classic furnishing partial kitchen glassware plate utensil cookware coffee maker microwave wifi guest laundry room fitness center rooftop sun deck apartmentsized refrigerator twoburner stovetop located within walking distance san diego zoo old globe theatre 15 museum balboa park 15 minute san diego international airport 10 minute amtraks pacific surfliner station,airbnb host reside use airbnbs message board text email telephone usually order front desk available assist im message call away,cancellation tenant understands reservation request made owner initiate nonrefundable reservation property reason cancellation policy set strictest airbnb setting issue order issue resolved awareness must made problem tenant inform front desk promptly upon encountering issue front desk unable satisfactorily remedy situation tenant contact owner facilitate resolution presentation resort timeshare property may offer solicitation attend sale presentation vacation ownership tenant obligation attend presentation condition occupancy age tenant must age 21 older secure reservation hisher name usage tenant shall use maintain resort careful lawful manner shall create noise disturbance likely disturb annoy,806147.0,2011-07-11,orange county ca,hi im orange county ca several listing available lot traveling understand accommodation person would like thank checking listing xox,2,100.0,1,kauaʻi,8.0,1,midtown,92103.0,1,15,0,4.0,1.0,0.0,1.0,125.0,250.0,0.0,35.0,1.0,0.0,2.0,6.0,5.0,10.0,2019-02-10,2019-07-21,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
heart downtown gaslamp district walk everywhere best restaurant marina sea port village east village convention center petco park supermarket much one block trolley stop 2 parking space side side front elevator newly renovated fully furnished condo one kind 2 bed2 bath approx 1000 sq ft split floor plan great privacy amenity wifi cable tv gym bbq common area new washerdryer walking distance restaurant park coffee shop petco park supermarket convention center childrens museum little italy east village seaport village much get around town trolley amtrack bicycle pedicab bus walking ferry coronado car taxiuber,walking distance restaurant park coffee shop petco park supermarket convention center childrens museum little italy east village seaport village much,,get around town trolley amtrack bicycle pedicab bus walking ferry coronado car taxiuber,,,,147647769.0,2017-08-25,san diego california united state,,1,100.0,1,gaslamp,1.0,0,gaslamp quarter,92101.0,1,2,0,5.0,2.0,2.0,2.0,150.0,987.5,1250.0,120.0,1.0,0.0,6.0,365.0,14.0,28.0,2018-05-10,2019-07-22,1,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2
feel like local enjoy san diego offer airport many central sd hottest neighborhood sightseeing less 10 minute away beach coronado short drive away adjacent landmark coronado bridge attraction balboa park petco park zoo gaslamp quarter little italy south park north park also minute away youll urban coming neighborhood working family lively main avenue one block possibility hear various street noise day night offer amenity keurig coffee maker starter coffee pod high speed wifi samsung smart tv available access amazon netflix streaming valid log fully functioning kitchen full sized stainless steel appliance fridge microwave dishwasher toasteroven dish glassware silverware pot pan also provided bed fre,neighborhood coming area surrounded colorful ethnic vibe although thing within minimal walking distance neighboring barrio take little stamen chicano park middle barrio logan mile distance south park small sweet established neighborhood also mile distance closest perhaps smallest target area boast great vegan restaurant one favorite italian restaurant fun beer bar array usually seen ’ town baseball game major event petco park 15 mile away making convenient get great spot within short enough distance dark horse coffee mutual friend ice cream shop try banana chocolate peanut butter cup turf club grill steak counterpoint gastro pub type fare tajima east village great ramen punch bowl social fun recreational,important home duplex therefore shared wall floor please keep mind loud noise footstep travel unit ask respect quiet hour 10pm 7am ensure guest equally enjoyable time home thanks advance cooperation respecting guest neighbor smoking allowed property allowed designated backyard area away house attached patio please make sure clean additional cleaning fee incurred cigarette butt littering house odiferous cigarette due smoking attached patio fee may incurred removal smell larger group friend multiple family visiting together need space yet want close proximity message u second unit coming available rent airbnb soon,parking parking available alley access area offer parking space property limit one vehicle per room transportation trolley stop conveniently two block away downtown convention center fiveminute drive two stop trolley convenience city exploring way uber lyft bird scooter rental bike lime etc,guest access common area within house backyard designated reserved room shared space master bedroom private bathroom along two bedroom sharing second available bathroom kitchen private patio also laundry available site,john available time best answering question concern may timely manner,name,110555724.0,2017-01-08,san diego california united state,38 yo traveler open minded like adventure exploring country soaking culture especially food consider respectful people space treat home currently work nurse many life experience way working young age joining military whole bunch else havent made chance travel focused changing getting see new thing,1,98.0,1,grant hill,9.0,0,grant hill,92102.0,1,15,1,2.0,1.0,1.0,1.0,40.0,40.0,300.0,45.0,2.0,50.0,1.0,50.0,26.0,52.0,2018-12-21,2019-08-02,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1
featured new york time wall street journal fast company ’ hosted 350k guest 2500 space average rating 46 star space designed run u ’ always know expect stay sonder ’ combined best part home hotel 247 support via text email phone coffee fresh towel bathroom essential provided hotelstandard cleaning arrive self checkin fullyequipped kitchen insuite laundry little italy highlight 3 minute walk craft commerce favorite cocktail small plate 3 minute walk harbor breakfast classic american breakfast 5 minute walk ironside fish oyster hip seafood restaurant getting around 5 minute walk county centerlittle italy station 5 minute drive downtown 10 minute drive san airport little italy highlight 3 minute walk craft commerce favorite cocktail small plate 3 minute,little italy highlight 3 minute walk craft commerce favorite cocktail small plate 3 minute walk harbor breakfast classic american breakfast 5 minute walk ironside fish oyster hip seafood restaurant,stair enter sonder,,,,house rule 1 booking require security deposit 300 charged advance 2 guest cancel within 24 hour booking receive full refund cancel anytime seven day start trip receive 50 refund trip cancelled fewer seven day advance eligible refund cancel within 24 hour booking please reach team refund processed manually 3 checkin time time 4 pm checkout time time 11 youre welcome request early check late checkout guaranteed confirm 24 hour advance 4 allow smoking kind including limited nicotine tobacco derived product andor cannabis derived substance breaking rule incur 300 fine 5 location allow pet 6 generally party excessive noise allowed location,12243051.0,2014-02-14,san francisco california united state,sonder reimagining way people travel 20 city ’ featured new york time wall street journal named 2019 ’ innovative hospitality brand fast company ’ taken best part home hotel combined entirely new experience space uniquely designed 247 guest support contain essential need impeccable stay matter ’ looking ’ sonder,1,99.0,0,gay village,21.0,1,cortez hill,92101.0,1,2,0,2.0,1.0,0.0,1.0,144.0,288.0,400.0,100.0,2.0,5.0,2.0,1111.0,12.0,24.0,2018-05-21,2019-07-24,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
craftsman 2 bedroom 1 bath house exciting north park living room dining room large gated private yard patio table lounge chair entire house yard exclusive use fun enter fencedin patio pas water garden shaded gazibo discover large private outdoor space mutiple seating choice entering house pas enclosed porch perfect breakfast web surfing roomy living room adjacent dining room find 2 bedroom queen size bed jackandjill bathroom bathroom large cast iron tub shower one bedroom original 1930s sized closet quite small bedroom large walk closet wifi tv hulu plus provided well guest exclusive use entire house fencedin patio washer dryer di,center triangle three interesting san diego neighborhood north park hillcrest kensington many fantastic unique restaurant within mile want stay longer planned 2 supermarket area vons 4 short city block home sprout 8 block park 1 block away 10 minute san diego zoo 15 minute downtown bus car 20 minute beach san diego harbor,kitchen dishwasher microwave toaster rice cooker coffee grinder espresso machine drip coffee maker also iron ironing board hairdryer find house clean arrive housekeeping find extra linen closet got little one packn play closet,express bus stop 3 block away take zoo downtown 10 minute dockless rental bike electric scooter available throughout san diego neighborhood usually several street parking weekend evening may need park block away,guest exclusive use entire house fencedin patio washer dryer dishwasher go lock red security door using key padlockshaped key cabinet living room also lock gate bottom stair,see u question someone lived san diego whole life love help visitor explore,sorry pet smoking property fireplace candle,29639228.0,2015-03-19,san diego california united state,retired software engineer wife love beach mountain desert wildlife photography grand kid,1,100.0,1,north park,1.0,1,north hill,92104.0,1,24,0,4.0,1.0,2.0,2.0,159.0,159.0,100.0,90.0,1.0,0.0,1.0,1125.0,122.5,245.0,2015-05-04,2019-08-17,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
town san diego studio condo two queen bed worldmark resort san diego inn park close balboa park airport sea port village petco park convention center two queen living area unit includes partial kitchen 2 burner stove top microwave dishwasher refrigerator maximum occupancy 4 resort complete management staff available 24 hour day available help phone guest question available person onsite staff sufficient need valet parking 24 hour inout privilege 15 per night requires 100 credit card authorization refundable upon check street parking available guaranteed resort washer dryer inunit coinoperated laundry facility available onsite cleaning additional fee however onsite management resort require security deposit,,valet parking 24 hour inout privilege 15 per night requires 100 credit card authorization refundable upon check street parking available guaranteed resort washer dryer inunit coinoperated laundry facility available onsite cleaning additional fee however onsite management resort require security deposit major credit card minimum 100 security deposit scheduled released day departure management often offer tour resort usually offer gift tour completely optional obligation resort unit may differ slightly photo room assigned time check resort constantly maintained updated,,,resort complete management staff available 24 hour day available help phone guest question available person onsite staff sufficient need,,147206998.0,2017-08-22,u,im fun loving vacationing family guy love get thing hope help others,3,100.0,0,anaheim,5.0,1,midtown,92103.0,1,0,0,4.0,1.0,0.0,2.0,200.0,600.0,0.0,0.0,1.0,0.0,3.0,7.0,1.0,2.0,2018-07-22,2018-07-22,0,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
2 bedroom 1 bath downstairs apartment comfortably sleep six unit close pacific beach 25 mi 10 min drive mission bay 04 mi 10 min walk downtown 7 mi 10 min drive ’ love place central location comfortable amenity including brand new bed kitchenbath essential wireless internet netflix outdoor space seating grill please note road noise due proximity 5 freeway minute pacific beach mission bay avoiding pacific beach traffic space super close 5 freeway take san diego 15 minute enjoy sun filled morning flat walk5 min lyft ride heart action san diego living finger tip parking spot step door guest access flat private yard parking space 1 available answer question assist,pacific beach one san diegos developed nightlife scene great variety bar eatery clothing store almost anything else think course beach boardwalk amazing,road noise due unit proximity 5 freeway gray wall back yard freeway wall seen picture noise mostly noticeable outside interior much quieter due brand new window aside remember sandal sunscreen faq parking situation one reserved spot parking lot unit addition free parking right front del rey st dont car whats best way get around lyftuber ride beach quick inexpensive also abundance birdlime scooter bike rent pacific beach many guest use entire stay get beach walk mission bay park take left del rey street run rosewood street first intersection cross street mission bay drive take left mission bay drive mission bay park,1 parking spot provided front unit straight shot grand avenue pacific beach time walk nice hop lyft minute flat right 5 freeway access san diego easy,guest access flat private yard parking space 1,available answer question assist anything needed,please keep noise minimum 11pm evidence smoking unit minimum 150 charge end stay,54504730.0,2016-01-13,san diego california united state,lived san diego past 5 year im aerospace engineer day real passion real estate decided convert favorite rental property vacation rental hope enjoy much,1,100.0,1,pacific beach,4.0,0,pacific beach,92109.0,1,2,0,6.0,1.0,2.0,3.0,125.0,250.0,200.0,80.0,1.0,0.0,2.0,30.0,122.5,245.0,2017-12-27,2019-08-08,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1
large spacious elegant home covered patio area lounging outdoor dining pool jacuzzi ocean view 6 bedroom gourmet kitchen plenty indoor living space perfect home family getaway weekly monthly discount pricing available please inquire check website three word commanding european mediterranean estate breathtaking ocean private canyon view 12 acre elegant exquisite everywhere inside especially beautiful vanishing edge pool spa enjoy aweinspiring ocean sunset view framed canyon meander blend sapphire sea moment enter privately gated six bedroom 45 bath 7700 square foot estate grand iron gate custom double entry door enamored 20 foot ceiling impressive architecture finish beautiful splash color elegant furnishing decor,,,,,,1 priority insuring valued guest enjoy stay u also equally important commitment neighbor community house rule must enforce please read prior confirming reservation comfortable rule encourage please make alternate accommodation minimum age policy 25 year age checkin 4pm check 11am smoking allowed inside property premise overnight occupancy including child infant exceed posted maximum occupancy occupancy defined total number people property time party time party defined combination following loud noise andor excessive drinking disruptive neighboring house andor guest outnumbering maximum amount permitted defined party result immediate evicti,122055416.0,2017-03-22,san diego california united state,since 2002 providing ever improving vacation home rental experience exceeding guest expectation start finish year experience vacation rental industry ensures highest level customer satisfaction pride setting example honest ethical industry leader high rate return customer,1,99.0,0,pacific beach,21.0,0,la jolla,92037.0,0,24,0,12.0,3.5,3.5,6.0,467.5,987.5,1000.0,315.0,6.0,0.0,1.0,1125.0,2.0,4.0,2018-09-23,2019-01-02,1,5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2
cozy beachside neighborhood good vibe living room bedroom bathroom pool hot tub basketball tennis court premise beach restaurant san diego living uber bike scooter around town please use balcony one closet available use,beach restaurant san diego living,please use balcony one closet available use,uber bike scooter around town,pool hot tub basketball tennis court,premise,shoe house,231559700.0,2018-12-20,san diego california united state,’ help great stay beautiful pacific bech san diego california want happy please let know ’ anything need,1,100.0,0,pacific beach,1.0,1,mission bay,92109.0,1,2,0,4.0,1.0,1.0,2.0,86.0,172.0,0.0,85.0,1.0,0.0,2.0,1125.0,32.0,64.0,2019-01-28,2019-08-03,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
welcome san diego escape elegant upgraded 2 bed 2 bath condo make san diego stay exquisite dual master suite located minute walk historic old town less 10 minute downtown san diego beach little italy north park airport much take morning coffee balcony watch plane take sunset cocktail deck grill dinner unique space expertly decorated number original furniture photography piece made owner enjoy full kitchen everything need grill deck tv appletv much location upscale neighborhood mission hill san diego centrally located downtown little italy beach much walk old town take stroll gorgeous neighborhood getting around easy parking hasslefree walk many shop restaurant,location upscale neighborhood mission hill san diego centrally located downtown little italy beach much walk old town take stroll gorgeous neighborhood,,getting around easy parking hasslefree walk many shop restaurant take scooter neighborhood closeby,,,quiet hour 10pm,70689048.0,2016-05-06,san diego california united state,,3,100.0,0,mission hill,1.0,0,old town,92110.0,1,15,0,4.0,2.0,2.0,2.0,140.0,280.0,300.0,100.0,1.0,0.0,2.0,1125.0,3.0,6.0,2018-11-11,2018-12-28,0,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2
spacious sunny remodeled craftsman 2 br 1 bath house modern classic architectural design heart san diego 20 min walk san diego convention center 1 mile 5 uber ride 10 min walk petco park 5 min drive san diego zoo 30 min drive sd zoo safari park 5 min drive coronado island 15 min drive beach 15 min drive tijuana 30 min walk seaport village walmart neighborhood grocery store 3 block away 4 mile away san diego int airport beautiful 2br 15 bath house historic sherman height located right 5 freeway entrance near 163 94 freeway 5 min uber ride gaslamp quarter approximately 200 san diego ’ stylish restaurant bar night club located great place enjoy excitement convenience downtown living stay access 700 sq foot 2 bedroom one bathroom unit brand new remodeled full kitchen brand new appliance large fridge mi,house located sherman height border east village mile away gaslamp petco park walmart couple block away convenient freeway entrance,parking plenty free street parking available non smoking property smoking allowed inside apartment however smoke outside patio,best way get around bird scooter uber,rental entire apartment sharing anyone access everything apartment,self checking one phone call away call text anytime,,20429851.0,2014-08-23,san diego california united state,,1,100.0,0,logan height,6.0,1,grant hill,92102.0,0,24,0,6.0,1.5,2.0,3.0,150.0,300.0,200.0,200.0,4.0,20.0,2.0,1125.0,12.0,24.0,2018-07-13,2019-03-14,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
nicely appointed clean 1 bedroom apartment resort style complex amazing amenity located crown point pacific beach block bay short walk beach close bar restaurant pb brand new unit dont good picture yet fully equipped nicely furnished great location beautiful king bed bedroom large new l shaped couch living room air mattress upon request extra sleeping huge tv fast internet fully stocked kitchen overall nice apartment within resortlike complex great amenity age everything guest access entire unit well amenity condo complex pool spa gym common picnic area courtyard tennis court business center parking hand live close always available calltextemail away also live area case anything come,coveted crown point area pacific beach close bay beach action 2 block walk sandy beach bay grassy crown point park 7 8 block shopping center everything could possibly need vons grocery store good restaurant cv pharmacy yoga studio gym frozen yogurt starbucks etc easy 5 minute bike ride 15 minute walk mission beach though quiet area walkable nightlife sport bar garnett street block way easy access freeway,,getting around taxiuber easiest way parking wont become issue everything within 515 minute drivetaxiuber ride away there bus stop front complex,everything guest access entire unit well amenity condo complex pool spa gym common picnic area courtyard tennis court business center parking,hand live close always available calltextemail away also live area case anything come,respectful noise neighbor refundable pet deposit 100 please request refund damage extra cleaning needed due pethair,1028043.0,2011-08-27,san diego california united state,mira jesse love traveling active sun san diego adventurous traveler recently settled life pacific beach san diego first born child,1,91.0,0,golden hill,21.0,0,mission bay,92109.0,1,2,0,4.0,1.0,1.0,2.0,150.0,150.0,100.0,69.0,2.0,25.0,1.0,1125.0,28.0,56.0,2016-06-27,2019-08-11,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
place located close newport ave main st ocean beach abundant bar food block away cute little restaurant great breakfast romantic dinner called little lion food accessible walking surf spot right outside place surf spot accessible minute away beach abundant near u beautiful beach right outside place tide low also two bike available free make home dog named henry around check might bark ’ big babe completely harmless probably asking pet somewhat around ask u anything would like henry dog might ask pet aroundlol ocean beach beautiful place say somewhat stuck hippie 70 bike walking get lot necessity including bar food beach dog bu,ocean beach beautiful place say somewhat stuck hippie 70,dog super chill friendly,bike walking get lot necessity including bar food beach,,somewhat around ask u anything would like henry dog might ask pet aroundlol,extremely chill couple standard rule apply outside guest overnight course friend area welcome come hang bit cook dish done put away please make sure put key bike back found noise 10pm neighbor appreciate 420friendly house cigarette smoking outside,44184645.0,2015-09-14,san diego california united state,living loving ocean beach san diego live hubby little beach town called ocean beach best taco surf around half hour away mexico hour la located perfect place always entertained love travel meet new people excited get started airbnb journey,1,100.0,1,ocean beach,1.0,1,ocean beach,92107.0,1,2,1,2.0,1.0,1.0,1.0,75.0,150.0,0.0,10.0,1.0,0.0,2.0,7.0,93.0,186.0,2018-03-06,2019-08-11,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
private loft apartment queen ann victorian home cool 60s70s decor vibe located san diegos historical sherman height district centrally located 10 minute walk east village 20 minute walk gaslamp district private entrance ladder loft bedroom must use caution sorry may best fit comfort big tall guest beautiful home example queen anne victorian twostory house built san diego 1889 converted one level house two separate vacation rental loft apartment bedroom accessed ladderstair must climbed updown using ladder pictured listing apartment second floor accessed outside staircase fully equipped private entrance cozy living area unique apartment home away homewe block east downtown san diego free street parking 5 minute drivecab ride vibrant gaslamp quarter 5th ave,sherman height east east village south golden hill north logan height boaders downtown san diego east neighborhood designated historic district 1987 many home building restored original character charm eclectic neighboorhood 5 minute ride center downtown,effective june 1st 2015 airbnb hotel price rate san diego subject totransient occupancy tax tot 1055 tourism marketing district tax tmd 55 certificate 615664,bus stop 2 minute house,entire apartment,texted directly anything may need stay,must access loft going ladder booking apartment agree aware liable injury may fall 2 guest maximum allowed,2253314.0,2012-04-29,san diego california united state,hi born raised san diego worked management quality hotel career love travel know important nice place enhance trip like garden outdoor activity enjoy working victorian historical san diego home,1,100.0,1,sherman height,2.0,1,grant hill,92102.0,1,26,0,2.0,1.0,1.0,1.0,115.0,230.0,100.0,0.0,2.0,20.0,2.0,28.0,122.5,245.0,2014-12-02,2019-08-11,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
clairemont mesa whole house extremely comfortable centrally located residential 3 bedroom 2 bath home san diego la jolla 7 mile sea world zoo 8 mile san diego airport 10 mile away clairemont mesa quiet safe peaceful neighborhood dozen dinning option within 1 mile property canine friendly 25 per night charge pet pet fee separate bill paid checkin clairemont mesa whole house 1575 square foot 3 bedroom 2 bath property one san diegos centrally located desirable neighborhood guest whole house enjoyment 3 bedroom queen size bed bedroom 1 private bathroom bedroom 2 tv att uverse cable bedroom 3 mini fridge bar area fenced yard patio perfect bbqing enjoying ocean breeze come la jolla,clairemont mesa centrally located east la jolla convenience clairemont mesa make desirable downtown san diego attraction less 20 minute away love clairemont mesa quiet respectful neighbor,quiet neighborhood party event allowed without prior approval owner,car recommended uber lyft also option,guest access entire front house except garage,question always best answer guest honored host job share knowledge san diego,must happy spirit drama free smoking allowed outside house please dispose butt properly,6372118.0,2013-05-13,san diego california united state,,1,100.0,0,clairemont mesa west,1.0,1,clairemont mesa,92117.0,1,24,0,6.0,2.0,3.0,3.0,180.0,360.0,100.0,100.0,4.0,40.0,2.0,34.0,43.0,86.0,2017-06-25,2019-07-22,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1
private room bath nice 4 bedroom house pool table big back yard nicely landscaped bbq really nice open kitchen bar stool lot light great quiet safe neighborhood easy freeway access 10 minute beach ocean view sun bathing deck enjoy life san diego private room bath room nice queen bed desk closet hanger wall mounted tv great location nice quiet neighborhood super convenient freeway access 10 min pacific beach 15 min downtown la jolla shore 5 min mission bay enjoy grassy backyard bbq lay sunbathe roof top ocean view deck amazing place call home vacation relocation san diego great ucsd student travel nurse internship student phd candidate vacationer travel tourist beach temporary housing employee housing 1 3 6 month stay guest access common area including nice open kitchen bar stool,live nice quiet safe family neighborhood walking distance nice neighborhood park baseball field basketball tennis court leash free dog park playground,live nice quiet safe family neighborhood walking distance nice neighborhood park baseball field basketball tennis court leash free dog park playground,bus stop bottom hill need workout skip gym walk bike ride bus stop job,guest access common area including nice open kitchen bar stool dining table seating 2 living room one large pool table piano beautiful grassy backyard bbq upstairs deck peek ocean private driveway parking also access course private room bath,check check whenever need anything,guest respectful quiet night student need study drink please enjoy alcohol moderation party overnight guest,58508816.0,2016-02-12,san diego california united state,,3,100.0,0,bay ho,2.0,0,bay ho,92117.0,1,24,1,1.0,1.0,1.0,1.0,45.0,630.0,195.0,30.0,1.0,0.0,6.0,1125.0,7.0,14.0,2016-05-20,2019-08-11,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
cute one bedroom apartment located four block beach pacific beach san diego walk beach bar restaurant garnet ave business district nice kitchen dishwasher microwave oven stove full fridge laundry street parking located sweet spot pb close enough walk amenity far enough away hear bar restaurant noise please patient english first language native language serbo croatian sweet spot pacific beach close enough walk everything beach bar restaurant nightlife without noise accompanies attraction quiet nice apartment full kitchen laundry wifi cable tv guest access one bedroom apartment shared deck front house easy walk market beach garnet ave business district barsrestaurantscafesshopping post office etc work full time always available genus,pacific beach popular sandy beach clear ocean water surfing bar restaurant nightlife leave car home walk,parking street,take 30 mt bus la jolla north old town downtown south,guest access one bedroom apartment shared deck front house easy walk market beach garnet ave business district barsrestaurantscafesshopping post office etc,work full time always available generally give space,,28411025.0,2015-02-26,san diego california united state,’ europe kosovo speak 5 language serbian albanian croatianenglish bulgarian ’ work vons 18 year practice yoga like walk sea like read book love socializing,1,100.0,1,pacific beach,1.0,0,pacific beach,92109.0,1,2,0,2.0,1.0,1.0,1.0,99.0,99.0,350.0,80.0,1.0,0.0,1.0,180.0,31.0,62.0,2018-09-25,2019-08-12,0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
